shops_root_url,via_page_url_regex,single_shop_url_regex,status
https://www.burgerkingjapan.co.jp/stores/index.html,Null,https:\/\/www.burgerkingjapan.co.jp\/stores\/detail.html\?sn=(\d+),Working
https://map.yoshinoya.com/p/shopmap/,\/p\/shopmap\/search.htm\?type=AddrL&adcd=(\d+);https://map.yoshinoya.com/p/shopmap/search.htm?type=AddrL&adcd=16,\/p\/shopmap\/dtl\/(\d+)\/\?&his=.+$,Not Working for onclick issue
https://shop.saint-marc-hd.com/b/saintmarc/?brand_type=CFE,/b/saintmarc/attr/\?kencode=(\d+)&brand_type=CFE,/b/saintmarc/info/(\d+)/\?brand_type=CFE,Working after changing regex
http://sasp.mapion.co.jp/b/doutor/,\/b\/doutor\/attr\/\?t=attr_con&kencode=(\d+),\/b\/doutor\/info\/(\d+)\/,Working
https://store-info.skylark.co.jp/skylark/?_resl=true,\/skylark\/area\/list\?address=(\d+)&search=address&bc=[^&]+;\/skylark\/spot\/list\/map\?address=(\d+)&search=coord&bc=[^&]+,\/skylark\/spot\/detail\?code=(\d+),Working after changing regex
http://www.saizeriya.co.jp/restaurant/index.php,\/restaurant\/search_map\.php\?area(\d+)=(\d+),\/restaurant\/shop_detail\.php\?cd=(\d+),Not Working for onclick issue
http://www.uny.co.jp/shop/,\/shop\/list_shop\.html\?area_id=(\d+),\d+/index.html$,Working
http://www.itoyokado.co.jp/store/index.html,\/store\/result\.html\#(\w+),\/shop\/(\d+)\/index\.html,Working
http://www.toyoko-inn.com/index.html,Null,\/hotel\/(\d+)\/index.html,Working
https://www.takashimaya.co.jp/,Null,\/([^\/]+)\/index\.html,Working
https://locations.sonicdrivein.com/index.html,locations.sonicdrivein.com/([^\.]+).html;\/locations\.sonicdrivein\.com\/(\w{2})\/[^\.]+.html,\/(\w{2})\/[^\/]+\/[^\.]+.html,Working
http://locations.arbys.com/index.html,\/locations\.arbys\.com\/(\w{2}).html;\/locations\.arbys\.com\/(\w{2})\/([^\.]+)\.html,\/locations\.arbys\.com\/(\w{2})\/([^\.]+)\/([^\/]+)\.html,Working
https://dunnbrothers.com/locations/,Null,\/([^\.]+)\.dunnbrothers\.com,Not working for loading issue
https://www.outback.com/locations/directory,Null,\/locations\/([^/]+)\/([^/]+),Working
https://www.stumptowncoffee.com/locations/,Null,\/locations\/([^/]+)\/([^/]+),Working
https://www.redlobster.com/locations/list,\/locations\/list\/[^\/]+\/[^\/]+\/$,\/locations\/list\/[^\/]+\/[^\/]+\/[^\/]+\/,Working
http://www.wholefoodsmarket.com/stores/list/state,Null,\/stores\/[^\/]+$,Working
https://www.wegmans.com/stores.html,Null,\/stores\/[^\/]+\.html$,Working
https://www.omnihotels.com/hotels,Null,\/hotels\/[^\/]+$,Working
http://locations.bloomingdales.com/,Null,\//locations.bloomingdales\.com\/[^\/]+$,Working
http://www.kochloeffel.de/filialfinder/,Null,\/filialfinder\/detail\/\?store=(\d+),Working
