Nation Code,cate_no,category,store_brand_name_en,store_brand_name_ja,URL,Shops_root_url,Via_page_url_regex,Single_shop_url_regex,Single_shop_page_url
JPN,1,fast food,Burger King,バーガーキング,https://www.burgerkingjapan.co.jp/,https://www.burgerkingjapan.co.jp/stores/index.html,Null,"https:\/\/www.burgerkingjapan.co.jp\/stores\/detail.html\?sn=(\d+)
",https://www.burgerkingjapan.co.jp/stores/detail.html?sn=71
JPN,1,fast food,Yoshinoya,吉野家,https://map.yoshinoya.com/,https://map.yoshinoya.com/p/shopmap/,\/p\/shopmap\/search.htm\?type=AddrL&adcd=(\d+);https://map.yoshinoya.com/p/shopmap/search.htm?type=AddrL&adcd=16,\/p\/shopmap\/dtl\/(\d+)\/\?&his=.+$,"https://map.yoshinoya.com/p/shopmap/dtl/1022/?&his=al1,nm"
JPN,2,cafe,ST. MARC CAFE,サンマルクカフェ,https://www.saint-marc-hd.com/saintmarccafe/,https://shop.saint-marc-hd.com/b/saintmarc/?brand_type=CFE,http:\/\/www.itoyokado.co.jp\/store\/result.html#(\w+),http:\/\/blog.itoyokado.co.jp\/shop\/(\d+)\/index.html,https://shop.saint-marc-hd.com/b/saintmarc/info/20268/?brand_type=CFE
JPN,2,cafe,Doutor Coffee,ドトールコーヒー,https://www.doutor.co.jp/dcs/,http://sasp.mapion.co.jp/b/doutor/,\/b\/doutor\/attr\/\?t=attr_con&kencode=(\d+),\/b\/doutor\/info\/(\d+)\/,http://sasp.mapion.co.jp/b/doutor/info/01010009/?shopmastergyokna=1100
JPN,3,restaurant,SKYLARK,すかいらーく,http://www.skylark.co.jp/,https://store-info.skylark.co.jp/skylark/?_resl=true,\/skylark\/area\/list\?bc=[^&]+&search=address&address=(\d+)&_resl=true;\/skylark\/spot\/list\/map\?bc=[^&]+&search=coord&address=(\d+)&_resl=true,\/skylark\/spot\/detail\?code=(\d+)&_resl=true,https://store-info.skylark.co.jp/skylark/spot/detail?code=012809&_resl=true
JPN,3,restaurant,Saizeriya,サイゼリヤ,http://www.saizeriya.co.jp/,http://www.saizeriya.co.jp/restaurant/index.php,\/restaurant\/search_map\.php\?area(\d+)=(\d+),\/restaurant\/shop_detail\.php\?cd=(\d+),http://www.saizeriya.co.jp/restaurant/shop_detail.php?cd=0536
JPN,4,supermarket,APITA,アピタ,http://www.uny.co.jp/,http://www.uny.co.jp/shop/,\/shop\/list_shop\.html\?area_id=(\d+),\/shop\/(\d+)\/index\.html,http://www.uny.co.jp/shop/201/index.html
JPN,4,supermarket,Ito-Yokado,イトーヨーカドー,http://www.itoyokado.co.jp/,http://www.itoyokado.co.jp/store/index.html,\/store\/result\.html\#(\w+),\/shop\/(\d+)\/index\.html,http://blog.itoyokado.co.jp/shop/170/index.html
JPN,5,hotel,Toyoko Inn,東横IN,http://www.toyoko-inn.com/index.html,http://www.toyoko-inn.com/index.html,Null,\/hotel\/(\d+)\/index.html,http://www.toyoko-inn.com/hotel/00119/index.html
JPN,6,shoppingmall or department,Takashimaya,高島屋,https://www.takashimaya.co.jp/,https://www.takashimaya.co.jp/,Null,\/([^\/]+)\/index\.html,https://www.takashimaya.co.jp/takasaki/access/index.html
USA,1,fast food,Sonic Drive-In,,https://www.sonicdrivein.com/,https://locations.sonicdrivein.com/index.html,locations.sonicdrivein.com/([^\.]+).html;\/locations\.sonicdrivein\.com\/(\w{2})\/[^\.]+.html,\/(\w{2})\/[^\/]+\/[^\.]+.html,https://locations.sonicdrivein.com/al/albertville/8269-u-s-highway-431-north.html
USA,1,fast food,Arby's,,http://arbys.com/,http://locations.arbys.com/index.html,\/locations\.arbys\.com\/(\w{2}).html;\/locations\.arbys\.com\/(\w{2})\/([^\.]+)\.html,\/locations\.arbys\.com\/(\w{2})\/([^\.]+)\/([^\/]+)\.html,http://locations.arbys.com/al/alabaster.html
USA,2,cafe,DUNN BROTHERS COFFEE,,https://dunnbrothers.com/,https://dunnbrothers.com/locations/,Null,\/\([^\.]+)\.dunnbrothers\.com,http://rapidcity.dunnbrothers.com/
USA,2,cafe,Stumptown Coffee Roasters,,https://www.stumptowncoffee.com/,https://www.stumptowncoffee.com/locations/,Null,\/locations\/([^/]+)\/([^/]+),https://www.stumptowncoffee.com/locations/portland/division
